year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,county,state,urban,primary_race,primary_eligibility,primary_denominator,analysis_value
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1003,Baldwin County,ALABAMA,Rural,American Indian/Alaska native,All,"undefined",816
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1053,Escambia County,ALABAMA,Rural,American Indian/Alaska native,All,"undefined",1308
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1069,Houston County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",1083
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1073,Jefferson County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",1867
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1089,Madison County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",1806
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1095,Marshall County,ALABAMA,Rural,American Indian/Alaska native,All,"undefined",417
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1097,Mobile County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",1229
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1099,Monroe County,ALABAMA,Rural,American Indian/Alaska native,All,"undefined",761
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1125,Tuscaloosa County,ALABAMA,Urban,American Indian/Alaska native,All,"undefined",500
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2020,Anchorage Municipality,ALASKA,Urban,American Indian/Alaska native,All,"undefined",514
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2050,Bethel Census Area,ALASKA,Rural,American Indian/Alaska native,All,"undefined",60
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2060,Bristol Bay Borough,ALASKA,Rural,American Indian/Alaska native,All,"undefined",449
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2070,Dillingham Census Area,ALASKA,Rural,American Indian/Alaska native,All,"undefined",64
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2090,Fairbanks North Star Borough,ALASKA,Urban,American Indian/Alaska native,All,"undefined",1336
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2100,Haines Borough,ALASKA,Rural,American Indian/Alaska native,All,"undefined",370
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2110,Juneau City and Borough,ALASKA,Rural,American Indian/Alaska native,All,"undefined",1317
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2130,Ketchikan Gateway Borough,ALASKA,Rural,American Indian/Alaska native,All,"undefined",1255
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2150,Kodiak Island Borough,ALASKA,Rural,American Indian/Alaska native,All,"undefined",514
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2170,Matanuska-Susitna Borough,ALASKA,Urban,American Indian/Alaska native,All,"undefined",786
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2180,Nome Census Area,ALASKA,Rural,American Indian/Alaska native,All,"undefined",1142
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2220,Sitka City and Borough,ALASKA,Rural,American Indian/Alaska native,All,"undefined",350
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2230,Skagway Municipality,ALASKA,Rural,American Indian/Alaska native,All,"undefined",233
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2240,Southeast Fairbanks Census Area,ALASKA,Rural,American Indian/Alaska native,All,"undefined",537
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2270,Wade Hampton Census Area,ALASKA,Rural,American Indian/Alaska native,All,"undefined",51
2017,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,2290,Yukon-Koyukuk Census Area,ALASKA,Rural,American Indian/Alaska native,All,"undefined",537
