year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,county,state,urban,primary_race,primary_eligibility,primary_denominator,analysis_value
2014,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1001,Autauga County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",280
2014,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1003,Baldwin County,ALABAMA,Rural,Asian/Pacific islander,All,"undefined",356
2014,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1015,Calhoun County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",671
2014,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1031,Coffee County,ALABAMA,Rural,Asian/Pacific islander,All,"undefined",292
2014,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1033,Colbert County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",1250
2014,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1043,Cullman County,ALABAMA,Rural,Asian/Pacific islander,All,"undefined",389
2014,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1045,Dale County,ALABAMA,Rural,Asian/Pacific islander,All,"undefined",484
2014,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1049,DeKalb County,ALABAMA,Rural,Asian/Pacific islander,All,"undefined",273
2014,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1051,Elmore County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",316
2014,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1055,Etowah County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",267
2014,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1061,Geneva County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",769
2014,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1069,Houston County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",409
2014,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1071,Jackson County,ALABAMA,Rural,Asian/Pacific islander,All,"undefined",800
2014,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1073,Jefferson County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",303
2014,County,Emergency department visit rate,Unsmoothed actual,Base measure,Primary chronic conditions,"All Emergency Department Visits",All,All,Dual & non-dual,1077,Lauderdale County,ALABAMA,Urban,Asian/Pacific islander,All,"undefined",861
