"Label","Baltimore County, Maryland!!Percent Uninsured!!Estimate","Baltimore County, Maryland!!Percent Uninsured!!Margin of Error","Montgomery County, Maryland!!Percent Uninsured!!Estimate","Montgomery County, Maryland!!Percent Uninsured!!Margin of Error","Prince George's County, Maryland!!Percent Uninsured!!Estimate","Prince George's County, Maryland!!Percent Uninsured!!Margin of Error","Baltimore city, Maryland!!Percent Uninsured!!Estimate","Baltimore city, Maryland!!Percent Uninsured!!Margin of Error","King County, Washington!!Percent Uninsured!!Estimate","King County, Washington!!Percent Uninsured!!Margin of Error","Pierce County, Washington!!Percent Uninsured!!Estimate","Pierce County, Washington!!Percent Uninsured!!Margin of Error","Yakima County, Washington!!Percent Uninsured!!Estimate","Yakima County, Washington!!Percent Uninsured!!Margin of Error"
"Total civilian noninstitutionalized population","9.4%","±0.4","11.5%","±0.3","15.4%","±0.3","13.1%","±0.4","11.9%","±0.3","13.6%","±0.4","25.4%","±0.9"
"AGE","","","","","","","","","","","","","",""
"    Under 18 years","4.7%","±0.5","4.0%","±0.4","5.9%","±0.5","5.5%","±0.7","4.7%","±0.4","6.3%","±0.6","12.5%","±1.6"
"    18 to 64 years","12.9%","±0.5","16.1%","±0.4","20.7%","±0.4","17.8%","±0.5","15.9%","±0.3","18.9%","±0.5","37.0%","±1.1"
"    65 years and older","1.0%","±0.3","2.6%","±0.3","2.2%","±0.4","0.7%","±0.2","1.2%","±0.2","0.6%","±0.2","1.7%","±0.6"
"19 to 25 years","17.3%","±1.2","24.5%","±1.5","24.6%","±1.0","20.3%","±1.5","24.7%","±0.8","28.6%","±1.3","54.4%","±2.4"
"SEX","","","","","","","","","","","","","",""
"    Male","10.7%","±0.4","12.5%","±0.4","18.2%","±0.4","16.2%","±0.5","13.2%","±0.3","15.0%","±0.5","27.5%","±1.0"
"    Female","8.2%","±0.4","10.6%","±0.4","12.8%","±0.3","10.4%","±0.5","10.5%","±0.3","12.3%","±0.5","23.3%","±1.1"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","",""
