"Label","Baltimore County, Maryland!!Percent Insured!!Estimate","Baltimore County, Maryland!!Percent Insured!!Margin of Error","Montgomery County, Maryland!!Percent Insured!!Estimate","Montgomery County, Maryland!!Percent Insured!!Margin of Error","Prince George's County, Maryland!!Percent Insured!!Estimate","Prince George's County, Maryland!!Percent Insured!!Margin of Error","Baltimore city, Maryland!!Percent Insured!!Estimate","Baltimore city, Maryland!!Percent Insured!!Margin of Error","King County, Washington!!Percent Insured!!Estimate","King County, Washington!!Percent Insured!!Margin of Error","Pierce County, Washington!!Percent Insured!!Estimate","Pierce County, Washington!!Percent Insured!!Margin of Error","Yakima County, Washington!!Percent Insured!!Estimate","Yakima County, Washington!!Percent Insured!!Margin of Error"
"Civilian noninstitutionalized population","93.3%","±0.3","91.6%","±0.3","88.1%","±0.3","92.0%","±0.3","93.0%","±0.2","91.9%","±0.3","84.1%","±0.8"
"    AGE","","","","","","","","","","","","","",""
"        Under 6 years","97.2%","±0.7","97.1%","±0.5","95.9%","±0.7","96.4%","±0.8","97.7%","±0.3","97.1%","±0.5","95.1%","±1.5"
"        6 to 18 years","95.8%","±0.6","96.0%","±0.5","93.6%","±0.6","95.3%","±0.6","97.0%","±0.3","96.1%","±0.4","94.1%","±1.0"
"        19 to 25 years","88.6%","±0.9","84.7%","±1.2","83.6%","±0.7","88.8%","±0.9","87.4%","±0.7","84.5%","±1.2","69.2%","±2.8"
"        26 to 34 years","86.7%","±0.8","83.2%","±0.9","76.2%","±0.7","88.5%","±0.8","88.0%","±0.5","84.1%","±1.0","68.8%","±2.7"
"        35 to 44 years","90.9%","±0.8","86.7%","±0.7","80.1%","±0.8","87.7%","±0.9","90.1%","±0.5","88.1%","±0.8","70.4%","±2.0"
"        45 to 54 years","92.7%","±0.6","91.1%","±0.7","88.2%","±0.8","88.5%","±0.8","92.7%","±0.4","90.3%","±0.9","78.9%","±2.1"
"        55 to 64 years","93.8%","±0.6","93.3%","±0.5","91.9%","±0.6","93.3%","±0.6","93.9%","±0.3","93.7%","±0.5","86.3%","±1.7"
"        65 to 74 years","98.8%","±0.4","97.8%","±0.5","97.5%","±0.4","98.9%","±0.4","98.5%","±0.3","99.3%","±0.2","98.6%","±0.7"
"        75 years and older","99.2%","±0.3","98.6%","±0.4","98.7%","±0.4","99.4%","±0.3","99.6%","±0.2","99.7%","±0.3","99.7%","±0.3"
"        Under 19 years","96.2%","±0.5","96.3%","±0.4","94.4%","±0.5","95.7%","±0.5","97.2%","±0.2","96.4%","±0.4","94.4%","±1.0"
"        19 to 64 years","90.7%","±0.3","88.2%","±0.4","84.0%","±0.4","89.3%","±0.4","90.5%","±0.2","88.3%","±0.5","74.8%","±1.1"
"        65 years and older","99.0%","±0.3","98.1%","±0.3","98.0%","±0.3","99.1%","±0.3","99.0%","±0.2","99.4%","±0.2","99.0%","±0.4"
"    SEX","","","","","","","","","","","","","",""
"        Male","92.1%","±0.4","90.8%","±0.4","85.7%","±0.4","90.3%","±0.5","92.1%","±0.2","90.8%","±0.4","81.7%","±0.9"
"        Female","94.4%","±0.3","92.4%","±0.3","90.3%","±0.3","93.4%","±0.4","93.9%","±0.2","92.9%","±0.4","86.5%","±0.8"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","",""
"        White alone","94.1%","±0.3","95.0%","±0.3","87.3%","±0.8","92.7%","±0.7","94.5%","±0.2","92.7%","±0.4","85.8%","±0.8"
"        Black or African American alone","93.2%","±0.6","90.2%","±0.8","92.4%","±0.3","92.1%","±0.4","89.9%","±0.8","92.7%","±1.1","87.6%","±6.4"
"        American Indian and Alaska Native alone","91.1%","±4.8","91.2%","±3.9","86.2%","±4.6","89.4%","±6.9","81.0%","±2.7","81.0%","±3.9","76.5%","±3.0"
"        Asian alone","90.6%","±1.5","92.5%","±0.7","89.3%","±1.4","91.0%","±2.0","93.5%","±0.4","89.8%","±1.2","88.0%","±5.4"
"        Native Hawaiian and Other Pacific Islander alone","90.4%","±9.1","78.8%","±27.5","91.7%","±14.2","78.0%","±25.8","87.3%","±2.8","90.0%","±2.1","48.7%","±26.4"
"        Some other race alone","75.1%","±4.8","70.2%","±2.0","62.7%","±1.5","72.2%","±3.8","70.9%","±1.8","73.8%","±2.2","75.1%","±2.2"
"        Two or more races","90.2%","±2.0","95.0%","±1.0","92.1%","±1.3","94.5%","±1.4","93.3%","±0.6","93.3%","±0.9","87.0%","±2.7"
"        Hispanic or Latino (of any race)","74.7%","±2.3","78.1%","±1.0","66.8%","±1.2","73.4%","±2.7","79.3%","±0.9","81.7%","±1.4","76.7%","±1.2"
"        White alone, not Hispanic or Latino","95.2%","±0.3","97.4%","±0.2","94.6%","±0.5","94.7%","±0.6","95.4%","±0.2","93.5%","±0.3","92.6%","±0.9"
"    LIVING ARRANGEMENTS","","","","","","","","","","","","","",""
"        In family households","93.5%","±0.3","91.5%","±0.4","87.9%","±0.3","91.9%","±0.4","93.6%","±0.2","92.4%","±0.3","84.0%","±0.8"
"            In married couple families","95.1%","±0.4","93.6%","±0.4","90.5%","±0.5","93.7%","±0.6","95.3%","±0.2","93.9%","±0.4","86.3%","±0.8"
"            In other families","89.9%","±0.7","84.4%","±1.1","84.1%","±0.6","90.5%","±0.6","87.5%","±0.7","88.3%","±0.9","79.0%","±1.7"
"                Male householder, no wife present","87.7%","±1.6","79.2%","±2.1","74.3%","±1.8","85.3%","±1.9","83.2%","±1.3","85.7%","±1.6","71.9%","±3.0"
"                Female householder, no husband present","90.6%","±0.8","86.5%","±1.2","87.7%","±0.6","91.7%","±0.6","89.5%","±0.7","89.4%","±0.9","82.1%","±1.8"
"        In non-family households and other living arrangements","92.2%","±0.7","92.2%","±0.8","89.2%","±0.7","92.1%","±0.5","91.0%","±0.4","89.1%","±0.7","84.9%","±1.4"
"    NATIVITY AND U.S. CITIZENSHIP STATUS","","","","","","","","","","","","","",""
"        Native born","95.0%","±0.2","96.4%","±0.2","93.8%","±0.2","93.4%","±0.3","95.2%","±0.2","93.2%","±0.3","90.6%","±0.7"
"        Foreign born","80.8%","±1.3","81.7%","±0.7","67.8%","±0.9","75.8%","±1.7","85.4%","±0.5","78.8%","±1.4","55.2%","±2.0"
"            Naturalized","93.1%","±0.9","92.4%","±0.6","89.5%","±0.9","91.0%","±1.6","93.0%","±0.4","90.4%","±1.3","82.4%","±3.2"
"            Not a citizen","67.5%","±2.1","69.6%","±1.2","52.3%","±1.4","65.4%","±2.6","78.5%","±0.8","64.7%","±2.4","45.3%","±2.3"
"    DISABILITY STATUS","","","","","","","","","","","","","",""
"        With a disability","95.8%","±0.6","94.9%","±0.6","94.1%","±0.6","95.4%","±0.5","94.9%","±0.4","94.6%","±0.4","92.2%","±1.3"
"        No disability","93.0%","±0.3","91.3%","±0.3","87.5%","±0.3","91.4%","±0.4","92.8%","±0.2","91.4%","±0.4","82.9%","±0.8"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","",""
"        Civilian noninstitutionalized population 26 years and over","92.9%","±0.3","90.7%","±0.3","86.5%","±0.3","91.3%","±0.4","92.4%","±0.2","91.1%","±0.4","81.0%","±0.9"
"            Less than high school graduate","83.7%","±1.5","66.4%","±1.6","61.9%","±1.4","85.9%","±1.2","75.4%","±1.2","78.1%","±1.8","63.3%","±2.2"
"            High school graduate (includes equivalency)","90.0%","±0.6","81.8%","±1.1","85.2%","±0.8","89.2%","±0.7","87.2%","±0.6","88.4%","±0.7","81.4%","±1.5"
"            Some college or associate's degree","93.3%","±0.5","90.4%","±0.7","91.2%","±0.5","91.9%","±0.6","91.8%","±0.3","92.8%","±0.5","89.1%","±1.3"
"            Bachelor's degree or higher","96.9%","±0.3","96.5%","±0.2","94.2%","±0.4","95.6%","±0.5","96.8%","±0.2","95.9%","±0.4","95.1%","±1.1"
