dataset_id,geo_id,year,variable,value
1,US1003,2016,County-level Real GDP,5625966
1,US1003,2017,County-level Real GDP,5754579
1,US1003,2018,County-level Real GDP,6006401
1,US1003,2019,County-level Real GDP,6140514
1,US1003,2017,GDP Percent change from preceding period,2.3
1,US1003,2018,GDP Percent change from preceding period,4.4
1,US1003,2019,GDP Percent change from preceding period,2.2
1,US1005,2016,County-level Real GDP,739860
1,US1005,2017,County-level Real GDP,743441
1,US1005,2018,County-level Real GDP,771536
1,US1005,2019,County-level Real GDP,762856
1,US1005,2017,GDP Percent change from preceding period,0.5
1,US1005,2018,GDP Percent change from preceding period,3.8
1,US1005,2019,GDP Percent change from preceding period,-1.1
1,US1007,2016,County-level Real GDP,355874
1,US1007,2017,County-level Real GDP,355890
1,US1007,2018,County-level Real GDP,363268
1,US1007,2019,County-level Real GDP,389547
1,US1007,2017,GDP Percent change from preceding period,0
1,US1007,2018,GDP Percent change from preceding period,2.1
1,US1007,2019,GDP Percent change from preceding period,7.2
1,US1009,2016,County-level Real GDP,829566
1,US1009,2017,County-level Real GDP,876376
1,US1009,2018,County-level Real GDP,896074
1,US1009,2019,County-level Real GDP,869049
1,US1009,2017,GDP Percent change from preceding period,5.6
1,US1009,2018,GDP Percent change from preceding period,2.2
1,US1009,2019,GDP Percent change from preceding period,-3
1,US1011,2016,County-level Real GDP,219410
1,US1011,2017,County-level Real GDP,221420
1,US1011,2018,County-level Real GDP,230666
1,US1011,2019,County-level Real GDP,246089
1,US1011,2017,GDP Percent change from preceding period,0.9
1,US1011,2018,GDP Percent change from preceding period,4.2
1,US1011,2019,GDP Percent change from preceding period,6.7
1,US1013,2016,County-level Real GDP,571598
1,US1013,2017,County-level Real GDP,583715
1,US1013,2018,County-level Real GDP,603080
1,US1013,2019,County-level Real GDP,601174
1,US1013,2017,GDP Percent change from preceding period,2.1
1,US1013,2018,GDP Percent change from preceding period,3.3
1,US1013,2019,GDP Percent change from preceding period,-0.3
1,US1015,2016,County-level Real GDP,3861691
1,US1015,2017,County-level Real GDP,3882048
1,US1015,2018,County-level Real GDP,3955983
1,US1015,2019,County-level Real GDP,4050073
1,US1015,2017,GDP Percent change from preceding period,0.5
1,US1015,2018,GDP Percent change from preceding period,1.9
1,US1015,2019,GDP Percent change from preceding period,2.4
1,US1017,2016,County-level Real GDP,822829
1,US1017,2017,County-level Real GDP,771863
1,US1017,2018,County-level Real GDP,789175
1,US1017,2019,County-level Real GDP,819345
1,US1017,2017,GDP Percent change from preceding period,-6.2
1,US1017,2018,GDP Percent change from preceding period,2.2
1,US1017,2019,GDP Percent change from preceding period,3.8
1,US1019,2016,County-level Real GDP,489001
1,US1019,2017,County-level Real GDP,501472
1,US1019,2018,County-level Real GDP,534858
1,US1019,2019,County-level Real GDP,531160
1,US1019,2017,GDP Percent change from preceding period,2.6
1,US1019,2018,GDP Percent change from preceding period,6.7
1,US1019,2019,GDP Percent change from preceding period,-0.7
1,US1021,2016,County-level Real GDP,831313
1,US1021,2017,County-level Real GDP,866476
1,US1021,2018,County-level Real GDP,898205
1,US1021,2019,County-level Real GDP,929435
1,US1021,2017,GDP Percent change from preceding period,4.2
1,US1021,2018,GDP Percent change from preceding period,3.7
1,US1021,2019,GDP Percent change from preceding period,3.5
1,US1023,2016,County-level Real GDP,507360
1,US1023,2017,County-level Real GDP,490802
1,US1023,2018,County-level Real GDP,536654
1,US1023,2019,County-level Real GDP,540271
1,US1023,2017,GDP Percent change from preceding period,-3.3
1,US1023,2018,GDP Percent change from preceding period,9.3
1,US1023,2019,GDP Percent change from preceding period,0.7
1,US1025,2016,County-level Real GDP,767215
1,US1025,2017,County-level Real GDP,736943
1,US1025,2018,County-level Real GDP,758828
1,US1025,2019,County-level Real GDP,770838
1,US1025,2017,GDP Percent change from preceding period,-3.9
1,US1025,2018,GDP Percent change from preceding period,3
1,US1025,2019,GDP Percent change from preceding period,1.6
1,US1027,2016,County-level Real GDP,344573
1,US1027,2017,County-level Real GDP,374890
1,US1027,2018,County-level Real GDP,414858
1,US1027,2019,County-level Real GDP,395198
1,US1027,2017,GDP Percent change from preceding period,8.8
1,US1027,2018,GDP Percent change from preceding period,10.7
1,US1027,2019,GDP Percent change from preceding period,-4.7
1,US1029,2016,County-level Real GDP,301107
1,US1029,2017,County-level Real GDP,297600
1,US1029,2018,County-level Real GDP,302085
1,US1029,2019,County-level Real GDP,276518
1,US1029,2017,GDP Percent change from preceding period,-1.2
1,US1029,2018,GDP Percent change from preceding period,1.5
1,US1029,2019,GDP Percent change from preceding period,-8.5
1,US1031,2016,County-level Real GDP,1316062
1,US1031,2017,County-level Real GDP,1316284
1,US1031,2018,County-level Real GDP,1343962
1,US1031,2019,County-level Real GDP,1344913
1,US1031,2017,GDP Percent change from preceding period,0
1,US1031,2018,GDP Percent change from preceding period,2.1
1,US1031,2019,GDP Percent change from preceding period,0.1
1,US1033,2016,County-level Real GDP,2398084
1,US1033,2017,County-level Real GDP,2277382
1,US1033,2018,County-level Real GDP,2324195
1,US1033,2019,County-level Real GDP,2375926
1,US1033,2017,GDP Percent change from preceding period,-5
1,US1033,2018,GDP Percent change from preceding period,2.1
1,US1033,2019,GDP Percent change from preceding period,2.2
1,US1035,2016,County-level Real GDP,469117
1,US1035,2017,County-level Real GDP,456322
1,US1035,2018,County-level Real GDP,447187
1,US1035,2019,County-level Real GDP,461600
1,US1035,2017,GDP Percent change from preceding period,-2.7
1,US1035,2018,GDP Percent change from preceding period,-2
1,US1035,2019,GDP Percent change from preceding period,3.2
1,US1037,2016,County-level Real GDP,171965
1,US1037,2017,County-level Real GDP,167835
1,US1037,2018,County-level Real GDP,171137
1,US1037,2019,County-level Real GDP,174730
1,US1037,2017,GDP Percent change from preceding period,-2.4
1,US1037,2018,GDP Percent change from preceding period,2
1,US1037,2019,GDP Percent change from preceding period,2.1
1,US1039,2016,County-level Real GDP,1140024
1,US1039,2017,County-level Real GDP,1151852
1,US1039,2018,County-level Real GDP,1145891
1,US1039,2019,County-level Real GDP,1121281
1,US1039,2017,GDP Percent change from preceding period,1
1,US1039,2018,GDP Percent change from preceding period,-0.5
1,US1039,2019,GDP Percent change from preceding period,-2.1
1,US1041,2016,County-level Real GDP,391300
1,US1041,2017,County-level Real GDP,414048
1,US1041,2018,County-level Real GDP,428869
1,US1041,2019,County-level Real GDP,431331
1,US1041,2017,GDP Percent change from preceding period,5.8
1,US1041,2018,GDP Percent change from preceding period,3.6
1,US1041,2019,GDP Percent change from preceding period,0.6
1,US1043,2016,County-level Real GDP,2569181
1,US1043,2017,County-level Real GDP,2590029
1,US1043,2018,County-level Real GDP,2617563
1,US1043,2019,County-level Real GDP,2581754
1,US1043,2017,GDP Percent change from preceding period,0.8
1,US1043,2018,GDP Percent change from preceding period,1.1
1,US1043,2019,GDP Percent change from preceding period,-1.4
1,US1045,2016,County-level Real GDP,2636685
1,US1045,2017,County-level Real GDP,2601275
1,US1045,2018,County-level Real GDP,2595137
1,US1045,2019,County-level Real GDP,2638931
1,US1045,2017,GDP Percent change from preceding period,-1.3
1,US1045,2018,GDP Percent change from preceding period,-0.2
1,US1045,2019,GDP Percent change from preceding period,1.7
1,US1047,2016,County-level Real GDP,1154622
1,US1047,2017,County-level Real GDP,1144189
1,US1047,2018,County-level Real GDP,1160260
1,US1047,2019,County-level Real GDP,1193935
1,US1047,2017,GDP Percent change from preceding period,-0.9
1,US1047,2018,GDP Percent change from preceding period,1.4
1,US1047,2019,GDP Percent change from preceding period,2.9
1,US1049,2016,County-level Real GDP,1749727
1,US1049,2017,County-level Real GDP,1877224
1,US1049,2018,County-level Real GDP,1944091
1,US1049,2019,County-level Real GDP,1879778
1,US1049,2017,GDP Percent change from preceding period,7.3
1,US1049,2018,GDP Percent change from preceding period,3.6
1,US1049,2019,GDP Percent change from preceding period,-3.3
1,US1051,2016,County-level Real GDP,1651053
1,US1051,2017,County-level Real GDP,1675937
1,US1051,2018,County-level Real GDP,1694231
1,US1051,2019,County-level Real GDP,1709071
1,US1051,2017,GDP Percent change from preceding period,1.5
1,US1051,2018,GDP Percent change from preceding period,1.1
1,US1051,2019,GDP Percent change from preceding period,0.9
1,US1053,2016,County-level Real GDP,1186467
1,US1053,2017,County-level Real GDP,1196818
1,US1053,2018,County-level Real GDP,1216107
1,US1053,2019,County-level Real GDP,1244239
1,US1053,2017,GDP Percent change from preceding period,0.9
1,US1053,2018,GDP Percent change from preceding period,1.6
1,US1053,2019,GDP Percent change from preceding period,2.3
1,US1055,2016,County-level Real GDP,2851486
1,US1055,2017,County-level Real GDP,2873797
1,US1055,2018,County-level Real GDP,2911022
1,US1055,2019,County-level Real GDP,2915965
1,US1055,2017,GDP Percent change from preceding period,0.8
1,US1055,2018,GDP Percent change from preceding period,1.3
1,US1055,2019,GDP Percent change from preceding period,0.2
1,US1057,2016,County-level Real GDP,345019
1,US1057,2017,County-level Real GDP,327068
1,US1057,2018,County-level Real GDP,333764
1,US1057,2019,County-level Real GDP,343241
1,US1057,2017,GDP Percent change from preceding period,-5.2
1,US1057,2018,GDP Percent change from preceding period,2
1,US1057,2019,GDP Percent change from preceding period,2.8
1,US1059,2016,County-level Real GDP,855153
1,US1059,2017,County-level Real GDP,912625
1,US1059,2018,County-level Real GDP,949820
1,US1059,2019,County-level Real GDP,948279
1,US1059,2017,GDP Percent change from preceding period,6.7
1,US1059,2018,GDP Percent change from preceding period,4.1
1,US1059,2019,GDP Percent change from preceding period,-0.2
1,US1061,2016,County-level Real GDP,525195
1,US1061,2017,County-level Real GDP,502784
1,US1061,2018,County-level Real GDP,509159
1,US1061,2019,County-level Real GDP,534804
1,US1061,2017,GDP Percent change from preceding period,-4.3
1,US1061,2018,GDP Percent change from preceding period,1.3
1,US1061,2019,GDP Percent change from preceding period,5
1,US1063,2016,County-level Real GDP,239982
1,US1063,2017,County-level Real GDP,215082
1,US1063,2018,County-level Real GDP,219281
1,US1063,2019,County-level Real GDP,244098
1,US1063,2017,GDP Percent change from preceding period,-10.4
1,US1063,2018,GDP Percent change from preceding period,2
1,US1063,2019,GDP Percent change from preceding period,11.3
1,US1065,2016,County-level Real GDP,302538
1,US1065,2017,County-level Real GDP,283138
1,US1065,2018,County-level Real GDP,265090
1,US1065,2019,County-level Real GDP,272988
1,US1065,2017,GDP Percent change from preceding period,-6.4
1,US1065,2018,GDP Percent change from preceding period,-6.4
1,US1065,2019,GDP Percent change from preceding period,3
1,US1067,2016,County-level Real GDP,367441
1,US1067,2017,County-level Real GDP,386222
1,US1067,2018,County-level Real GDP,394700
1,US1067,2019,County-level Real GDP,410939
1,US1067,2017,GDP Percent change from preceding period,5.1
1,US1067,2018,GDP Percent change from preceding period,2.2
1,US1067,2019,GDP Percent change from preceding period,4.1
1,US1069,2016,County-level Real GDP,4685076
1,US1069,2017,County-level Real GDP,4848641
1,US1069,2018,County-level Real GDP,4894537
1,US1069,2019,County-level Real GDP,4906396
1,US1069,2017,GDP Percent change from preceding period,3.5
1,US1069,2018,GDP Percent change from preceding period,0.9
1,US1069,2019,GDP Percent change from preceding period,0.2
1,US1071,2016,County-level Real GDP,1392203
1,US1071,2017,County-level Real GDP,1394904
1,US1071,2018,County-level Real GDP,1415454
1,US1071,2019,County-level Real GDP,1405878
1,US1071,2017,GDP Percent change from preceding period,0.2
1,US1071,2018,GDP Percent change from preceding period,1.5
1,US1071,2019,GDP Percent change from preceding period,-0.7
1,US1073,2016,County-level Real GDP,39588975
1,US1073,2017,County-level Real GDP,39985762
1,US1073,2018,County-level Real GDP,40928685
1,US1073,2019,County-level Real GDP,41359665
1,US1073,2017,GDP Percent change from preceding period,1
1,US1073,2018,GDP Percent change from preceding period,2.4
1,US1073,2019,GDP Percent change from preceding period,1.1
1,US1075,2016,County-level Real GDP,304907
1,US1075,2017,County-level Real GDP,314645
1,US1075,2018,County-level Real GDP,321298
1,US1075,2019,County-level Real GDP,329681
1,US1075,2017,GDP Percent change from preceding period,3.2
1,US1075,2018,GDP Percent change from preceding period,2.1
1,US1075,2019,GDP Percent change from preceding period,2.6
1,US1077,2016,County-level Real GDP,2356867
1,US1077,2017,County-level Real GDP,2381389
1,US1077,2018,County-level Real GDP,2406508
1,US1077,2019,County-level Real GDP,2440671
1,US1077,2017,GDP Percent change from preceding period,1
1,US1077,2018,GDP Percent change from preceding period,1.1
1,US1077,2019,GDP Percent change from preceding period,1.4
1,US1079,2016,County-level Real GDP,468265
1,US1079,2017,County-level Real GDP,477246
1,US1079,2018,County-level Real GDP,487552
1,US1079,2019,County-level Real GDP,506829
1,US1079,2017,GDP Percent change from preceding period,1.9
1,US1079,2018,GDP Percent change from preceding period,2.2
1,US1079,2019,GDP Percent change from preceding period,4
1,US1081,2016,County-level Real GDP,5086943
1,US1081,2017,County-level Real GDP,5174382
1,US1081,2018,County-level Real GDP,5219694
1,US1081,2019,County-level Real GDP,5265738
1,US1081,2017,GDP Percent change from preceding period,1.7
1,US1081,2018,GDP Percent change from preceding period,0.9
1,US1081,2019,GDP Percent change from preceding period,0.9
1,US1083,2016,County-level Real GDP,3136604
1,US1083,2017,County-level Real GDP,3228648
1,US1083,2018,County-level Real GDP,3202456
1,US1083,2019,County-level Real GDP,3268954
1,US1083,2017,GDP Percent change from preceding period,2.9
1,US1083,2018,GDP Percent change from preceding period,-0.8
1,US1083,2019,GDP Percent change from preceding period,2.1
1,US1085,2016,County-level Real GDP,412401
1,US1085,2017,County-level Real GDP,411439
1,US1085,2018,County-level Real GDP,414393
1,US1085,2019,County-level Real GDP,412296
1,US1085,2017,GDP Percent change from preceding period,-0.2
1,US1085,2018,GDP Percent change from preceding period,0.7
1,US1085,2019,GDP Percent change from preceding period,-0.5
1,US1087,2016,County-level Real GDP,473901
1,US1087,2017,County-level Real GDP,489565
1,US1087,2018,County-level Real GDP,495042
1,US1087,2019,County-level Real GDP,506149
1,US1087,2017,GDP Percent change from preceding period,3.3
1,US1087,2018,GDP Percent change from preceding period,1.1
1,US1087,2019,GDP Percent change from preceding period,2.2
1,US1089,2016,County-level Real GDP,20798731
1,US1089,2017,County-level Real GDP,21370696
1,US1089,2018,County-level Real GDP,22203070
1,US1089,2019,County-level Real GDP,22979842
1,US1089,2017,GDP Percent change from preceding period,2.7
1,US1089,2018,GDP Percent change from preceding period,3.9
1,US1089,2019,GDP Percent change from preceding period,3.5
1,US1091,2016,County-level Real GDP,668598
1,US1091,2017,County-level Real GDP,640935
1,US1091,2018,County-level Real GDP,662828
1,US1091,2019,County-level Real GDP,686093
1,US1091,2017,GDP Percent change from preceding period,-4.1
1,US1091,2018,GDP Percent change from preceding period,3.4
1,US1091,2019,GDP Percent change from preceding period,3.5
1,US1093,2016,County-level Real GDP,795132
1,US1093,2017,County-level Real GDP,803592
1,US1093,2018,County-level Real GDP,835260
1,US1093,2019,County-level Real GDP,831902
1,US1093,2017,GDP Percent change from preceding period,1.1
1,US1093,2018,GDP Percent change from preceding period,3.9
1,US1093,2019,GDP Percent change from preceding period,-0.4
1,US1095,2016,County-level Real GDP,2938723
1,US1095,2017,County-level Real GDP,3061783
1,US1095,2018,County-level Real GDP,3156115
1,US1095,2019,County-level Real GDP,3199310
1,US1095,2017,GDP Percent change from preceding period,4.2
1,US1095,2018,GDP Percent change from preceding period,3.1
1,US1095,2019,GDP Percent change from preceding period,1.4
1,US1097,2016,County-level Real GDP,17945500
1,US1097,2017,County-level Real GDP,17869675
1,US1097,2018,County-level Real GDP,18205946
1,US1097,2019,County-level Real GDP,18484941
1,US1097,2017,GDP Percent change from preceding period,-0.4
1,US1097,2018,GDP Percent change from preceding period,1.9
1,US1097,2019,GDP Percent change from preceding period,1.5
1,US1099,2016,County-level Real GDP,643043
1,US1099,2017,County-level Real GDP,655278
1,US1099,2018,County-level Real GDP,677498
1,US1099,2019,County-level Real GDP,699127
1,US1099,2017,GDP Percent change from preceding period,1.9
1,US1099,2018,GDP Percent change from preceding period,3.4
1,US1099,2019,GDP Percent change from preceding period,3.2
1,US1101,2016,County-level Real GDP,12365592
1,US1101,2017,County-level Real GDP,12348699
1,US1101,2018,County-level Real GDP,12383037
1,US1101,2019,County-level Real GDP,12552254
1,US1101,2017,GDP Percent change from preceding period,-0.1
