geoid,name,year,total_est,total_se
16000US0107000,"Birmingham city, Alabama",2009,47.034798,6.2777119
16000US0107000,"Birmingham city, Alabama",2010,54.37904,7.7557364
16000US0107000,"Birmingham city, Alabama",2011,55.687553,8.6082077
16000US0107000,"Birmingham city, Alabama",2012,43.491737,5.4379992
16000US0107000,"Birmingham city, Alabama",2013,36.076511,6.0443835
16000US0107000,"Birmingham city, Alabama",2014,44.822102,6.6728659
16000US0107000,"Birmingham city, Alabama",2015,57.651859,7.3693504
16000US0107000,"Birmingham city, Alabama",2016,65.881058,7.7857785
16000US0107000,"Birmingham city, Alabama",2017,53.885441,7.4962897
16000US0121184,"Dothan city, Alabama",2009,33.013542,7.9026871
16000US0121184,"Dothan city, Alabama",2010,39.027359,6.8214579
16000US0121184,"Dothan city, Alabama",2011,51.722313,7.950254
16000US0121184,"Dothan city, Alabama",2012,58.545853,8.342495
16000US0121184,"Dothan city, Alabama",2013,36.143902,5.8621349
16000US0121184,"Dothan city, Alabama",2014,42.411144,6.5478287
16000US0121184,"Dothan city, Alabama",2015,38.17664,6.6389346
16000US0121184,"Dothan city, Alabama",2016,47.707558,6.2670889
16000US0121184,"Dothan city, Alabama",2017,47.621483,9.1477251
16000US0135896,"Hoover city, Alabama",2009,69.319023,9.6453619
16000US0135896,"Hoover city, Alabama",2010,66.151505,9.4388456
16000US0135896,"Hoover city, Alabama",2012,69.767441,12.290075
16000US0135896,"Hoover city, Alabama",2013,61.941963,13.467982
16000US0135896,"Hoover city, Alabama",2014,54.690491,15.813369
16000US0135896,"Hoover city, Alabama",2015,72.282608,11.278995
16000US0135896,"Hoover city, Alabama",2016,58.462627,8.2392826
16000US0135896,"Hoover city, Alabama",2017,77.202713,12.203895
16000US0137000,"Huntsville city, Alabama",2009,51.990856,6.3048811
16000US0137000,"Huntsville city, Alabama",2010,48.549843,7.4610853
16000US0137000,"Huntsville city, Alabama",2011,36.34016,5.6010356
16000US0137000,"Huntsville city, Alabama",2012,36.943417,6.9284773
16000US0137000,"Huntsville city, Alabama",2013,54.214508,7.626102
16000US0137000,"Huntsville city, Alabama",2014,40.382389,7.9942017
16000US0137000,"Huntsville city, Alabama",2015,48.3965,9.2682304
16000US0137000,"Huntsville city, Alabama",2016,52.43272,8.9475374
16000US0137000,"Huntsville city, Alabama",2017,49.595291,5.8495593
16000US0150000,"Mobile city, Alabama",2009,56.986969,7.5625448
16000US0150000,"Mobile city, Alabama",2010,56.44849,6.1538539
16000US0150000,"Mobile city, Alabama",2011,49.322334,5.0104575
16000US0150000,"Mobile city, Alabama",2012,40.393974,4.6344295
16000US0150000,"Mobile city, Alabama",2013,58.168613,8.7362013
16000US0150000,"Mobile city, Alabama",2014,54.621185,8.4029655
16000US0150000,"Mobile city, Alabama",2015,58.750515,7.1434708
16000US0150000,"Mobile city, Alabama",2016,65.119728,5.7253342
16000US0150000,"Mobile city, Alabama",2017,56.676186,6.9212689
16000US0151000,"Montgomery city, Alabama",2009,43.395889,7.0492754
16000US0151000,"Montgomery city, Alabama",2010,44.609406,6.6485567
16000US0151000,"Montgomery city, Alabama",2011,52.368156,8.0092716
16000US0151000,"Montgomery city, Alabama",2012,54.282463,5.3907504
16000US0151000,"Montgomery city, Alabama",2013,48.852558,6.0614696
16000US0151000,"Montgomery city, Alabama",2014,48.130928,6.9450393
16000US0151000,"Montgomery city, Alabama",2015,41.983166,6.59763
16000US0151000,"Montgomery city, Alabama",2016,44.328098,7.0052028
16000US0151000,"Montgomery city, Alabama",2017,29.477383,8.0557346
16000US0177256,"Tuscaloosa city, Alabama",2009,50.37936,10.617514
16000US0177256,"Tuscaloosa city, Alabama",2010,42.345276,9.0496149
16000US0177256,"Tuscaloosa city, Alabama",2011,46.790642,15.542462
16000US0177256,"Tuscaloosa city, Alabama",2012,50.916706,10.498985
16000US0177256,"Tuscaloosa city, Alabama",2013,13.582966,10.529681
16000US0177256,"Tuscaloosa city, Alabama",2014,47.833332,11.141495
16000US0177256,"Tuscaloosa city, Alabama",2015,25.074986,12.243176
16000US0177256,"Tuscaloosa city, Alabama",2016,44.82906,12.899253
16000US0177256,"Tuscaloosa city, Alabama",2017,30.448574,7.4145875
16000US0203000,"Anchorage municipality, Alaska",2009,35.382648,5.1532044
16000US0203000,"Anchorage municipality, Alaska",2010,35.768261,6.5296369
16000US0203000,"Anchorage municipality, Alaska",2011,30.869774,6.2018976
16000US0203000,"Anchorage municipality, Alaska",2012,34.700249,5.5528507
16000US0203000,"Anchorage municipality, Alaska",2013,30.720016,4.6317739
16000US0203000,"Anchorage municipality, Alaska",2014,27.72348,5.3102026
16000US0203000,"Anchorage municipality, Alaska",2015,33.125069,5.1807895
16000US0203000,"Anchorage municipality, Alaska",2016,25.700306,4.5576448
16000US0203000,"Anchorage municipality, Alaska",2017,36.060825,6.5854983
16000US0404720,"Avondale city, Arizona",2009,16.448088,13.611555
16000US0404720,"Avondale city, Arizona",2010,10.461115,7.5227985
16000US0404720,"Avondale city, Arizona",2012,22.301668,9.3386765
16000US0404720,"Avondale city, Arizona",2013,38.173874,10.431345
16000US0404720,"Avondale city, Arizona",2014,9.0770979,4.0971713
16000US0404720,"Avondale city, Arizona",2015,30.436129,8.7807646
16000US0404720,"Avondale city, Arizona",2017,31.563982,9.3737707
16000US0407940,"Buckeye city, Arizona",2017,18.047337,12.714824
16000US0410670,"Casas Adobes CDP, Arizona",2011,25.858837,16.305836
16000US0410670,"Casas Adobes CDP, Arizona",2012,34.292377,7.4412332
16000US0410670,"Casas Adobes CDP, Arizona",2013,45.11581,11.204751
16000US0410670,"Casas Adobes CDP, Arizona",2014,29.193665,12.726942
16000US0410670,"Casas Adobes CDP, Arizona",2015,58.333332,16.532974
16000US0410670,"Casas Adobes CDP, Arizona",2016,86.745628,11.348236
16000US0410670,"Casas Adobes CDP, Arizona",2017,41.418022,14.253397
16000US0412000,"Chandler city, Arizona",2009,41.467983,5.2046571
16000US0412000,"Chandler city, Arizona",2010,46.271931,5.7271833
16000US0412000,"Chandler city, Arizona",2011,63.275261,7.3038807
16000US0412000,"Chandler city, Arizona",2012,45.782082,5.9828186
16000US0412000,"Chandler city, Arizona",2013,62.185818,4.8410778
16000US0412000,"Chandler city, Arizona",2014,36.898956,4.4375277
16000US0412000,"Chandler city, Arizona",2015,42.165096,4.7605438
16000US0412000,"Chandler city, Arizona",2016,41.326218,3.5088174
16000US0412000,"Chandler city, Arizona",2017,53.427475,6.216547
16000US0423620,"Flagstaff city, Arizona",2010,31.747404,11.619018
16000US0423620,"Flagstaff city, Arizona",2011,43.313202,8.4582071
16000US0423620,"Flagstaff city, Arizona",2012,35.434174,14.011794
16000US0423620,"Flagstaff city, Arizona",2014,51.537937,12.882908
16000US0423620,"Flagstaff city, Arizona",2015,74.291397,12.244249
16000US0423620,"Flagstaff city, Arizona",2016,34.420601,17.789055
16000US0423620,"Flagstaff city, Arizona",2017,29.443254,12.173231
16000US0427400,"Gilbert town, Arizona",2009,47.006996,6.0743556
16000US0427400,"Gilbert town, Arizona",2010,52.992867,5.6223989
16000US0427400,"Gilbert town, Arizona",2011,45.261986,8.4260569
16000US0427400,"Gilbert town, Arizona",2012,51.293858,5.2998686
16000US0427400,"Gilbert town, Arizona",2013,37.051426,5.1119986
16000US0427400,"Gilbert town, Arizona",2014,41.622093,4.1175799
16000US0427400,"Gilbert town, Arizona",2015,51.035194,6.9253259
16000US0427400,"Gilbert town, Arizona",2016,58.957447,4.4028602
16000US0427400,"Gilbert town, Arizona",2017,51.492645,6.5704837
16000US0427820,"Glendale city, Arizona",2009,28.876293,5.5602813
16000US0427820,"Glendale city, Arizona",2010,18.702343,4.4366241
16000US0427820,"Glendale city, Arizona",2011,26.746876,5.1969357
16000US0427820,"Glendale city, Arizona",2012,18.562128,3.8544648
16000US0427820,"Glendale city, Arizona",2013,31.088465,5.9577212
16000US0427820,"Glendale city, Arizona",2014,27.70508,4.5512319
16000US0427820,"Glendale city, Arizona",2015,28.744284,6.2301192
16000US0427820,"Glendale city, Arizona",2016,39.761028,5.9508667
16000US0427820,"Glendale city, Arizona",2017,29.962673,5.8813701
16000US0428380,"Goodyear city, Arizona",2012,40.412979,11.121956
16000US0428380,"Goodyear city, Arizona",2014,29.675611,14.145295
16000US0428380,"Goodyear city, Arizona",2015,31.70359,7.9363346
16000US0428380,"Goodyear city, Arizona",2016,26.982529,10.086977
16000US0428380,"Goodyear city, Arizona",2017,31.351656,6.2604265
16000US0446000,"Mesa city, Arizona",2009,25.169703,3.9124408
16000US0446000,"Mesa city, Arizona",2010,35.289253,5.0368705
16000US0446000,"Mesa city, Arizona",2011,34.09325,3.9301727
16000US0446000,"Mesa city, Arizona",2012,35.450302,4.4635334
16000US0446000,"Mesa city, Arizona",2013,30.564991,4.040719
16000US0446000,"Mesa city, Arizona",2014,39.771904,3.9379072
16000US0446000,"Mesa city, Arizona",2015,32.169621,3.7380669
16000US0446000,"Mesa city, Arizona",2016,31.380098,3.1892638
16000US0446000,"Mesa city, Arizona",2017,35.574272,3.9658144
16000US0454050,"Peoria city, Arizona",2009,32.749302,7.9069786
16000US0454050,"Peoria city, Arizona",2010,24.410067,6.6546521
16000US0454050,"Peoria city, Arizona",2011,62.882336,12.620765
16000US0454050,"Peoria city, Arizona",2012,35.256542,6.3983297
16000US0454050,"Peoria city, Arizona",2013,39.629383,9.0402946
16000US0454050,"Peoria city, Arizona",2014,63.408524,10.170093
16000US0454050,"Peoria city, Arizona",2015,38.568378,6.4916878
16000US0454050,"Peoria city, Arizona",2016,37.083126,6.414731
16000US0454050,"Peoria city, Arizona",2017,38.036381,6.5247402
16000US0455000,"Phoenix city, Arizona",2009,29.461702,1.8942068
16000US0455000,"Phoenix city, Arizona",2010,32.094658,2.4713514
16000US0455000,"Phoenix city, Arizona",2011,26.739458,2.2028546
16000US0455000,"Phoenix city, Arizona",2012,30.923441,2.3550889
16000US0455000,"Phoenix city, Arizona",2013,29.607758,2.3053758
16000US0455000,"Phoenix city, Arizona",2014,28.249567,1.7966129
16000US0455000,"Phoenix city, Arizona",2015,32.886162,2.0078757
16000US0455000,"Phoenix city, Arizona",2016,35.306103,2.2572856
16000US0455000,"Phoenix city, Arizona",2017,38.003792,2.4459076
16000US0464210,"San Tan Valley CDP, Arizona",2012,27.84889,8.9520073
16000US0464210,"San Tan Valley CDP, Arizona",2013,14.312662,6.2628179
16000US0464210,"San Tan Valley CDP, Arizona",2014,24.123274,10.608624
16000US0464210,"San Tan Valley CDP, Arizona",2015,29.653353,10.283527
16000US0464210,"San Tan Valley CDP, Arizona",2016,26.67939,12.401739
16000US0464210,"San Tan Valley CDP, Arizona",2017,35.294117,10.36785
16000US0465000,"Scottsdale city, Arizona",2009,74.6035,6.420455
16000US0465000,"Scottsdale city, Arizona",2010,63.653744,7.9520187
16000US0465000,"Scottsdale city, Arizona",2011,64.699455,11.738155
16000US0465000,"Scottsdale city, Arizona",2012,59.873695,7.0078745
16000US0465000,"Scottsdale city, Arizona",2013,60.187702,10.097883
16000US0465000,"Scottsdale city, Arizona",2014,74.152153,8.5944328
16000US0465000,"Scottsdale city, Arizona",2015,69.789795,8.1833611
16000US0465000,"Scottsdale city, Arizona",2016,61.562504,10.297286
16000US0465000,"Scottsdale city, Arizona",2017,60.252907,6.3700938
16000US0471510,"Surprise city, Arizona",2009,25.859734,6.8855114
16000US0471510,"Surprise city, Arizona",2010,40.143768,5.0410104
16000US0471510,"Surprise city, Arizona",2012,25.861649,8.3359356
16000US0471510,"Surprise city, Arizona",2013,50.033249,9.309392
16000US0471510,"Surprise city, Arizona",2014,21.928593,4.9951701
16000US0471510,"Surprise city, Arizona",2015,35.561325,8.2303925
16000US0471510,"Surprise city, Arizona",2016,27.792852,9.4479856
16000US0471510,"Surprise city, Arizona",2017,22.708567,8.2452965
16000US0473000,"Tempe city, Arizona",2009,67.216187,10.987508
16000US0473000,"Tempe city, Arizona",2010,26.344208,4.9197092
16000US0473000,"Tempe city, Arizona",2011,37.493446,4.9038324
16000US0473000,"Tempe city, Arizona",2012,28.846153,4.726656
16000US0473000,"Tempe city, Arizona",2013,52.43523,10.205769
16000US0473000,"Tempe city, Arizona",2014,62.321537,15.805226
16000US0473000,"Tempe city, Arizona",2015,54.480892,10.721234
16000US0473000,"Tempe city, Arizona",2016,48.536381,9.6756115
16000US0473000,"Tempe city, Arizona",2017,46.209465,8.0260687
16000US0477000,"Tucson city, Arizona",2009,27.070765,4.3849268
16000US0477000,"Tucson city, Arizona",2010,28.188505,3.8388529
16000US0477000,"Tucson city, Arizona",2011,40.627224,4.7935319
16000US0477000,"Tucson city, Arizona",2012,27.983639,3.8757615
16000US0477000,"Tucson city, Arizona",2013,32.542007,4.1417489
16000US0477000,"Tucson city, Arizona",2014,46.056965,4.5733423
16000US0477000,"Tucson city, Arizona",2015,34.12904,4.9589958
16000US0477000,"Tucson city, Arizona",2016,35.678432,4.8913631
16000US0477000,"Tucson city, Arizona",2017,41.655945,4.8852911
16000US0485540,"Yuma city, Arizona",2009,30.411764,10.30653
16000US0485540,"Yuma city, Arizona",2010,42.604408,9.0290499
16000US0485540,"Yuma city, Arizona",2011,31.319479,17.94549
16000US0485540,"Yuma city, Arizona",2012,37.894009,5.446888
16000US0485540,"Yuma city, Arizona",2013,41.670113,8.4970627
16000US0485540,"Yuma city, Arizona",2014,39.321358,9.845274
16000US0485540,"Yuma city, Arizona",2015,53.18919,12.991958
16000US0485540,"Yuma city, Arizona",2016,20.391577,6.2794013
16000US0485540,"Yuma city, Arizona",2017,54.062099,16.942301
16000US0515190,"Conway city, Arkansas",2016,77.172775,7.6723976
16000US0515190,"Conway city, Arkansas",2017,53.217297,13.087298
16000US0523290,"Fayetteville city, Arkansas",2009,73.444977,8.8478851
16000US0523290,"Fayetteville city, Arkansas",2010,42.110008,8.6701288
16000US0523290,"Fayetteville city, Arkansas",2014,71.740097,13.863714
16000US0523290,"Fayetteville city, Arkansas",2015,63.03334,11.784725
16000US0523290,"Fayetteville city, Arkansas",2016,77.941879,11.904818
16000US0523290,"Fayetteville city, Arkansas",2017,50.301723,12.905637
16000US0524550,"Fort Smith city, Arkansas",2009,20.889179,9.685647
16000US0524550,"Fort Smith city, Arkansas",2010,42.78582,11.312963
16000US0524550,"Fort Smith city, Arkansas",2011,47.607655,10.77924
16000US0524550,"Fort Smith city, Arkansas",2012,35.486088,9.0515337
16000US0524550,"Fort Smith city, Arkansas",2013,33.455761,11.313093
16000US0524550,"Fort Smith city, Arkansas",2014,41.432224,11.236934
16000US0524550,"Fort Smith city, Arkansas",2015,46.364494,11.751136
16000US0524550,"Fort Smith city, Arkansas",2016,35.888123,11.524145
16000US0524550,"Fort Smith city, Arkansas",2017,53.214691,13.748017
16000US0535710,"Jonesboro city, Arkansas",2012,73.367432,8.5341492
16000US0535710,"Jonesboro city, Arkansas",2013,36.8568,11.931339
16000US0535710,"Jonesboro city, Arkansas",2014,60.344826,9.4461765
16000US0541000,"Little Rock city, Arkansas",2009,67.183624,7.2992616
16000US0541000,"Little Rock city, Arkansas",2010,67.025307,5.5307565
16000US0541000,"Little Rock city, Arkansas",2011,75.893883,9.9381943
16000US0541000,"Little Rock city, Arkansas",2012,50.35199,7.9130778
16000US0541000,"Little Rock city, Arkansas",2013,63.677364,10.26275
16000US0541000,"Little Rock city, Arkansas",2014,50.83205,6.3008256
16000US0541000,"Little Rock city, Arkansas",2015,71.716652,6.3555045
16000US0541000,"Little Rock city, Arkansas",2016,53.624107,6.3481479
16000US0541000,"Little Rock city, Arkansas",2017,51.347614,9.346364
16000US0550450,"North Little Rock city, Arkansas",2013,41.480396,12.019299
16000US0550450,"North Little Rock city, Arkansas",2017,37.536095,16.787205
16000US0560410,"Rogers city, Arkansas",2016,48.652416,8.6321812
16000US0566080,"Springdale city, Arkansas",2010,34.209873,8.6835546
16000US0566080,"Springdale city, Arkansas",2012,49.613495,6.8272123
16000US0600562,"Alameda city, California",2009,80.535599,13.620559
16000US0600562,"Alameda city, California",2010,53.415882,9.1665173
16000US0600562,"Alameda city, California",2011,68.772957,9.1197062
16000US0600562,"Alameda city, California",2012,61.986458,9.2116184
16000US0600562,"Alameda city, California",2013,69.182106,.98331839
16000US0600562,"Alameda city, California",2014,70.477249,8.663722
16000US0600562,"Alameda city, California",2015,67.537521,11.827679
16000US0600562,"Alameda city, California",2016,43.201855,9.3890142
16000US0600562,"Alameda city, California",2017,66.542595,11.089041
16000US0600884,"Alhambra city, California",2009,47.531349,9.5630627
16000US0600884,"Alhambra city, California",2010,74.660271,8.8171234
16000US0600884,"Alhambra city, California",2011,63.038181,12.904435
16000US0600884,"Alhambra city, California",2012,50.784897,9.5247507
16000US0600884,"Alhambra city, California",2013,61.337925,12.442849
16000US0600884,"Alhambra city, California",2014,67.946709,9.2760296
16000US0600884,"Alhambra city, California",2015,89.541718,12.234231
16000US0600884,"Alhambra city, California",2016,64.605263,14.171894
16000US0600884,"Alhambra city, California",2017,45.46154,13.557869
16000US0602000,"Anaheim city, California",2009,31.866785,4.3495035
16000US0602000,"Anaheim city, California",2010,40.437557,4.9273586
16000US0602000,"Anaheim city, California",2011,40.047222,4.9184856
16000US0602000,"Anaheim city, California",2012,47.086639,4.1404357
16000US0602000,"Anaheim city, California",2013,38.518097,4.7139201
16000US0602000,"Anaheim city, California",2014,36.828594,5.4291992
16000US0602000,"Anaheim city, California",2015,39.207047,5.0102062
16000US0602000,"Anaheim city, California",2016,40.617401,5.0307522
16000US0602000,"Anaheim city, California",2017,37.781258,6.0223589
16000US0602252,"Antioch city, California",2009,49.007832,7.5633922
16000US0602252,"Antioch city, California",2010,45.273026,10.888773
16000US0602252,"Antioch city, California",2011,24.761038,8.3583241
16000US0602252,"Antioch city, California",2012,53.809803,12.272718
16000US0602252,"Antioch city, California",2013,30.901722,9.0702009
16000US0602252,"Antioch city, California",2014,47.898598,12.714752
16000US0602252,"Antioch city, California",2015,41.962776,12.660434
16000US0602252,"Antioch city, California",2016,33.222343,8.6659689
16000US0602252,"Antioch city, California",2017,36.586464,9.168889
16000US0602364,"Apple Valley town, California",2009,42.228462,12.403454
16000US0602364,"Apple Valley town, California",2010,23.817665,11.797585
16000US0602364,"Apple Valley town, California",2012,62.986141,12.618918
16000US0602364,"Apple Valley town, California",2014,44.337734,10.495692
16000US0602364,"Apple Valley town, California",2016,48.513241,13.582143
16000US0602553,"Arden-Arcade CDP, California",2009,64.455627,11.087485
16000US0602553,"Arden-Arcade CDP, California",2010,60.650761,12.512464
16000US0602553,"Arden-Arcade CDP, California",2011,35.595448,6.964118
16000US0602553,"Arden-Arcade CDP, California",2012,55.436306,10.988782
16000US0602553,"Arden-Arcade CDP, California",2013,42.8009,11.412766
16000US0602553,"Arden-Arcade CDP, California",2014,44.836773,9.9798698
16000US0602553,"Arden-Arcade CDP, California",2015,47.261436,16.961622
16000US0602553,"Arden-Arcade CDP, California",2016,51.369114,12.125135
16000US0602553,"Arden-Arcade CDP, California",2017,25.768085,10.639513
16000US0603526,"Bakersfield city, California",2009,40.088375,5.1469798
16000US0603526,"Bakersfield city, California",2010,42.33234,4.6208491
16000US0603526,"Bakersfield city, California",2011,33.587788,3.8246579
16000US0603526,"Bakersfield city, California",2012,36.242569,5.0301557
16000US0603526,"Bakersfield city, California",2013,39.214638,5.6101742
16000US0603526,"Bakersfield city, California",2014,28.002783,4.0165257
16000US0603526,"Bakersfield city, California",2015,43.087364,5.7006335
16000US0603526,"Bakersfield city, California",2016,27.460199,4.8586707
16000US0603526,"Bakersfield city, California",2017,33.603298,4.727149
16000US0603666,"Baldwin Park city, California",2009,38.349834,10.805408
16000US0603666,"Baldwin Park city, California",2010,30.174927,8.1603251
16000US0603666,"Baldwin Park city, California",2011,57.744503,9.9890003
16000US0603666,"Baldwin Park city, California",2012,57.902813,10.242515
16000US0603666,"Baldwin Park city, California",2013,53.457172,8.8589764
16000US0603666,"Baldwin Park city, California",2015,24.943693,9.5976591
16000US0603666,"Baldwin Park city, California",2016,42.601925,10.601917
16000US0603666,"Baldwin Park city, California",2017,60.898083,13.296184
16000US0604982,"Bellflower city, California",2009,40.801041,9.936861
16000US0604982,"Bellflower city, California",2010,61.440247,13.628525
16000US0604982,"Bellflower city, California",2011,63.22633,12.482035
16000US0604982,"Bellflower city, California",2012,48.761791,9.2568035
16000US0604982,"Bellflower city, California",2013,61.874432,9.3609257
16000US0604982,"Bellflower city, California",2014,35.777431,14.574467
16000US0604982,"Bellflower city, California",2015,37.950665,8.5969601
16000US0604982,"Bellflower city, California",2016,50.771297,8.5771732
16000US0604982,"Bellflower city, California",2017,61.43959,12.322697
16000US0606000,"Berkeley city, California",2009,95.634377,7.336978
16000US0606000,"Berkeley city, California",2010,73.986931,25.362736
16000US0606000,"Berkeley city, California",2011,92.307693,7.1575866
