geoid,name,year,total_est,total_se
04000US01,Alabama,2009,43.440342,1.2164681
04000US01,Alabama,2010,44.764969,1.3553346
04000US01,Alabama,2011,43.38768,1.5395232
04000US01,Alabama,2012,41.738716,1.459859
04000US01,Alabama,2013,43.743931,1.6165286
04000US01,Alabama,2014,40.262177,1.4976307
04000US01,Alabama,2015,44.344242,1.434966
04000US01,Alabama,2016,42.989223,1.5288044
04000US01,Alabama,2017,42.816151,1.4385407
04000US02,Alaska,2009,33.999905,2.8895152
04000US02,Alaska,2010,36.343426,3.1952243
04000US02,Alaska,2011,36.615868,3.2658072
04000US02,Alaska,2012,38.534744,2.6780515
04000US02,Alaska,2013,41.227993,2.8840952
04000US02,Alaska,2014,37.530613,2.7590003
04000US02,Alaska,2015,35.419525,2.6269276
04000US02,Alaska,2016,35.78664,2.5269527
04000US02,Alaska,2017,36.667316,3.2039907
04000US04,Arizona,2009,32.737915,1.1167257
04000US04,Arizona,2010,34.66666,1.2721013
04000US04,Arizona,2011,34.775932,1.3494627
04000US04,Arizona,2012,33.120956,1.1958771
04000US04,Arizona,2013,36.562843,1.1616309
04000US04,Arizona,2014,36.319344,1.0782483
04000US04,Arizona,2015,37.344181,1.1339178
04000US04,Arizona,2016,39.590626,1.0984484
04000US04,Arizona,2017,39.704998,1.2787191
04000US05,Arkansas,2009,49.50494,1.9358203
04000US05,Arkansas,2010,50.977116,1.7356453
04000US05,Arkansas,2011,45.21917,1.947705
04000US05,Arkansas,2012,47.575832,1.7125144
04000US05,Arkansas,2013,45.823647,1.81085
04000US05,Arkansas,2014,47.298237,1.8690675
04000US05,Arkansas,2015,49.576233,2.1344013
04000US05,Arkansas,2016,50.973976,1.5681105
04000US05,Arkansas,2017,45.336395,1.9251727
04000US06,California,2009,49.32127,.53094459
04000US06,California,2010,50.010384,.51478672
04000US06,California,2011,48.717472,.54262727
04000US06,California,2012,48.816605,.49158996
04000US06,California,2013,47.172516,.48166743
04000US06,California,2014,47.814838,.4634001
04000US06,California,2015,48.917435,.42639509
04000US06,California,2016,48.543221,.47262859
04000US06,California,2017,49.866642,.55947697
04000US08,Colorado,2009,48.395176,1.2465597
04000US08,Colorado,2010,49.762802,1.4313551
04000US08,Colorado,2011,49.742844,1.4149963
04000US08,Colorado,2012,48.712006,1.2179883
04000US08,Colorado,2013,49.854561,1.2842436
04000US08,Colorado,2014,53.478844,1.3609016
04000US08,Colorado,2015,51.942474,1.2920506
04000US08,Colorado,2016,48.945019,1.3963583
04000US08,Colorado,2017,49.450294,1.3920468
04000US09,Connecticut,2009,61.813438,1.1964973
04000US09,Connecticut,2010,62.148445,1.323607
04000US09,Connecticut,2011,61.313293,1.5624787
04000US09,Connecticut,2012,68.627022,1.4147147
04000US09,Connecticut,2013,63.396065,1.6912029
04000US09,Connecticut,2014,64.578072,1.5663924
04000US09,Connecticut,2015,63.996758,1.634866
04000US09,Connecticut,2016,65.806152,1.6963845
04000US09,Connecticut,2017,64.957207,1.6501311
04000US10,Delaware,2009,48.865883,4.1453691
04000US10,Delaware,2010,54.882229,3.4275663
04000US10,Delaware,2011,48.187733,2.8180552
04000US10,Delaware,2012,49.447502,2.4004462
04000US10,Delaware,2013,43.412224,3.2623279
04000US10,Delaware,2014,50.685322,3.52021
04000US10,Delaware,2015,46.836941,3.1627622
04000US10,Delaware,2016,50.538071,3.3466778
04000US10,Delaware,2017,50.938206,3.2362494
04000US11,District of Columbia,2009,58.895145,3.8230062
04000US11,District of Columbia,2010,73.909355,3.5405114
04000US11,District of Columbia,2011,74.565758,3.4454613
04000US11,District of Columbia,2012,78.39193,2.893718
04000US11,District of Columbia,2013,78.497643,2.7148249
04000US11,District of Columbia,2014,86.360199,2.3334534
04000US11,District of Columbia,2015,74.553741,3.0972688
04000US11,District of Columbia,2016,77.71077,2.4272861
04000US11,District of Columbia,2017,73.214684,2.4617753
04000US12,Florida,2009,49.089474,.77783394
04000US12,Florida,2010,50.25069,.78537327
04000US12,Florida,2011,50.820522,.89590067
04000US12,Florida,2012,50.257641,.93397814
04000US12,Florida,2013,49.59684,.91425776
04000US12,Florida,2014,50.016193,.80093992
04000US12,Florida,2015,51.147438,.9335162
04000US12,Florida,2016,50.455059,.91472501
04000US12,Florida,2017,51.091831,.88593781
04000US13,Georgia,2009,51.409035,.94274843
04000US13,Georgia,2010,49.712994,.99701649
04000US13,Georgia,2011,48.619343,1.2347509
04000US13,Georgia,2012,49.653301,.95512384
04000US13,Georgia,2013,49.984039,1.0359008
04000US13,Georgia,2014,48.964767,.94164246
04000US13,Georgia,2015,50.930298,1.0735795
04000US13,Georgia,2016,47.950939,1.1715016
04000US13,Georgia,2017,49.945244,1.0495392
04000US15,Hawaii,2009,57.567699,2.6475484
04000US15,Hawaii,2010,58.259987,2.6579957
04000US15,Hawaii,2011,51.309086,2.6161561
04000US15,Hawaii,2012,52.525635,2.460994
04000US15,Hawaii,2013,50.397449,2.7899718
04000US15,Hawaii,2014,49.882969,2.4663689
04000US15,Hawaii,2015,45.051296,2.3959486
04000US15,Hawaii,2016,46.513889,2.5104163
04000US15,Hawaii,2017,45.877316,2.4770803
04000US16,Idaho,2009,31.290834,2.1323681
04000US16,Idaho,2010,42.614071,2.4198954
04000US16,Idaho,2011,32.727749,2.0736945
04000US16,Idaho,2012,32.777531,2.3076191
04000US16,Idaho,2013,30.975046,2.3170943
04000US16,Idaho,2014,30.277746,1.9996637
04000US16,Idaho,2015,30.365526,2.1227436
04000US16,Idaho,2016,33.848381,2.4903207
04000US16,Idaho,2017,39.630234,2.5344651
04000US17,Illinois,2009,55.210327,.84888667
04000US17,Illinois,2010,53.687382,.84141845
04000US17,Illinois,2011,54.343723,.89677721
04000US17,Illinois,2012,53.653164,.83478594
04000US17,Illinois,2013,52.493191,.75529432
04000US17,Illinois,2014,54.511898,.84289026
04000US17,Illinois,2015,55.184395,.73054868
04000US17,Illinois,2016,57.397938,.84705532
04000US17,Illinois,2017,53.454739,.95000935
04000US18,Indiana,2009,40.499748,1.0412837
04000US18,Indiana,2010,38.831635,1.0609916
04000US18,Indiana,2011,41.704071,1.235025
04000US18,Indiana,2012,39.973373,1.192474
04000US18,Indiana,2013,37.492405,1.0388945
04000US18,Indiana,2014,42.180313,1.208196
04000US18,Indiana,2015,38.953144,1.1486205
04000US18,Indiana,2016,42.57531,1.2901732
04000US18,Indiana,2017,41.636677,1.2811388
04000US19,Iowa,2009,47.499241,1.5151496
04000US19,Iowa,2010,47.347103,1.3351622
04000US19,Iowa,2011,47.827888,1.6551981
04000US19,Iowa,2012,48.582962,1.4763507
04000US19,Iowa,2013,47.195415,1.5793903
04000US19,Iowa,2014,49.731846,1.6058388
04000US19,Iowa,2015,47.85334,1.5244122
04000US19,Iowa,2016,48.069427,1.6889976
04000US19,Iowa,2017,46.872807,1.5862828
04000US20,Kansas,2009,47.922192,1.6353123
04000US20,Kansas,2010,48.722679,1.7517794
04000US20,Kansas,2011,43.514343,1.4738055
04000US20,Kansas,2012,46.11805,1.3714631
04000US20,Kansas,2013,42.537926,1.4841064
