geoid,name,year,total_est,total_se
05000US01003,"Baldwin County, Alabama",2009,35.886002,5.5616231
05000US01003,"Baldwin County, Alabama",2010,34.150276,7.7375798
05000US01003,"Baldwin County, Alabama",2011,50.217037,11.276298
05000US01003,"Baldwin County, Alabama",2012,27.513966,6.3030353
05000US01003,"Baldwin County, Alabama",2013,58.374542,9.1630554
05000US01003,"Baldwin County, Alabama",2014,33.649082,7.3932953
05000US01003,"Baldwin County, Alabama",2015,42.111259,7.5049729
05000US01003,"Baldwin County, Alabama",2016,34.440247,9.3700533
05000US01003,"Baldwin County, Alabama",2017,38.751976,7.6111765
05000US01015,"Calhoun County, Alabama",2009,26.599497,8.9395094
05000US01015,"Calhoun County, Alabama",2010,52.573532,9.6359768
05000US01015,"Calhoun County, Alabama",2011,34.699677,10.230802
05000US01015,"Calhoun County, Alabama",2012,45.708775,12.337698
05000US01015,"Calhoun County, Alabama",2013,42.828854,10.173218
05000US01015,"Calhoun County, Alabama",2014,39.828079,8.9194889
05000US01015,"Calhoun County, Alabama",2015,49.108433,9.4453115
05000US01015,"Calhoun County, Alabama",2016,33.162743,10.927712
05000US01015,"Calhoun County, Alabama",2017,43.907455,8.7195578
05000US01043,"Cullman County, Alabama",2009,35.35865,11.158764
05000US01043,"Cullman County, Alabama",2010,51.344593,11.889251
05000US01043,"Cullman County, Alabama",2011,21.139896,7.0005722
05000US01043,"Cullman County, Alabama",2012,20.464533,10.045137
05000US01043,"Cullman County, Alabama",2013,31.844742,9.9524412
05000US01043,"Cullman County, Alabama",2015,12.890366,11.049988
05000US01043,"Cullman County, Alabama",2016,42.063885,13.460832
05000US01049,"DeKalb County, Alabama",2017,19.273985,8.4869843
05000US01051,"Elmore County, Alabama",2009,33.410229,10.302565
05000US01051,"Elmore County, Alabama",2010,52.299828,11.203253
05000US01051,"Elmore County, Alabama",2011,52.260635,10.894203
05000US01051,"Elmore County, Alabama",2012,43.70208,12.046185
05000US01051,"Elmore County, Alabama",2013,61.363636,12.866431
05000US01051,"Elmore County, Alabama",2014,42.21624,11.548131
05000US01051,"Elmore County, Alabama",2015,47.651009,13.122806
05000US01051,"Elmore County, Alabama",2016,44.186047,10.431212
05000US01051,"Elmore County, Alabama",2017,28.13397,10.282545
05000US01055,"Etowah County, Alabama",2009,48.033829,9.7664032
05000US01055,"Etowah County, Alabama",2010,27.073553,7.8718739
05000US01055,"Etowah County, Alabama",2011,43.171627,9.4390497
05000US01055,"Etowah County, Alabama",2012,47.31369,8.1372852
05000US01055,"Etowah County, Alabama",2013,37.954807,9.546567
05000US01055,"Etowah County, Alabama",2014,30.680815,12.291332
05000US01055,"Etowah County, Alabama",2015,48.477657,9.9647503
