NCESSCH,SCHNAM
240002701669.00,The Seed School of Maryland
240009000150.00,Baltimore City College
240009000151.00,Baltimore Polytechnic Institute
240009000157.00,Benjamin Franklin High School at Masonville Cove
240009000168.00,Carver Vocational-Technical High
240009000176.00,Claremont School
240009000194.00,Edmondson-Westside High
240009000203.00,Forest Park High
240009000209.00,Frederick Douglass High
240009000219.00,George W. F. McMechen High
240009000236.00,Achievement Academy @ Harbor City High
240009000267.00,Laurence G. Paquin Middle/High
240009000280.00,Mergenthaler Vocational-Technical High
240009000292.00,Northwestern High
240009000297.00,Patterson High
240009000298.00,Paul Laurence Dunbar High
240009000330.00,Western High
240009000336.00,William S. Baer School
240009000885.00,Eager Street Academy
240009001098.00,Southside Academy
240009001302.00,ConneXions: A  Community Based Arts School
240009001313.00,Digital Harbor High School
240009001324.00,W.E.B. DuBois High
240009001331.00,Reginald F. Lewis High
240009001339.00,National Academy Foundation
240009001343.00,Excel Academy @ Francis M. Wood High
240009001381.00,Academy for College and Career Exploration
240009001383.00,Baltimore Talent Development
240009001385.00,Vivien T. Thomas Medical Arts Academy
240009001387.00,Augusta Fells Savage Institute of Visual Arts
240009001388.00,Maritime Industries Academy
240009001391.00,Baltimore School for the Arts
240009001530.00,Coppin Academy
240009001531.00,Renaissance Academy
240009001533.00,Institute of Business and Entrepreneurship
240009001538.00,MD Academy of Technology and Health Sciences
240009001559.00,New Era Academy
240009001560.00,Baltimore Freedom Academy
240009001562.00,Heritage High School
240009001632.00,Independence School Local I
240009001654.00,Friendship Academy of Science and Technology
240009001659.00,Friendship Academy of Engineering and Technology
240009001662.00,Joseph C. Briscoe Academy
240009001663.00,The Reach! Partnership School
240009001665.00,K.A.S.A. (Knowledge And Success Academy)
240009001666.00,Baltimore Civitas
240009001675.00,Bluford Drew Jemison STEM Academy West
240009001676.00,Baltimore Antioch Diploma Plus High School
240009001677.00,Baltimore Liberation Diploma Plus High School
240009001678.00,N.A.C.A. Freedom and Democracy Academy II
240009001679.00,Baltimore Community High School
240009001682.00,Baltimore Leadership School for Young Women
240009001690.00,City Neighbors High
240009001691.00,Green Street Academy
240009001703.00,Baltimore Design School
240009001735.00,Bard High School Early College
